Flow,OMR,EXP1,EXP3,NAA,ALT1,ALT2v1,ALT2v2,ALT2v3,ALT2v4,ALT3,ALT4
lolo,-2000,0,0,41,38,35,34,39,38,40,34
lolo,-3500,0,0,17,14,17,18,22,21,12,12
lolo,-5000,0,0,23,11,15,14,12,11,3,19
lolo,<-5500,0,0,10,15,6,6,8,7,0,10
lolo,NA,85,140,41,30,62,65,57,61,115,68
lomed,-2000,0,0,28,15,14,19,29,16,11,15
lomed,-3500,0,0,9,14,13,11,11,8,5,16
lomed,-5000,0,0,15,7,8,8,8,8,1,9
lomed,<-5500,0,0,0,6,0,0,0,0,1,1
lomed,NA,25,63,18,42,40,37,34,41,52,34
lohi,-2000,0,0,13,0,1,2,1,1,3,0
lohi,-3500,0,0,6,18,17,16,13,8,4,17
lohi,-5000,0,0,2,3,3,3,3,3,1,3
lohi,<-5500,0,0,0,0,0,0,0,0,0,0
lohi,NA,19,38,10,9,8,9,13,11,12,9
medlo,-2000,0,0,1,1,2,2,1,2,14,1
medlo,-3500,0,0,6,0,16,17,13,13,2,8
medlo,-5000,0,0,54,16,18,18,18,19,12,26
medlo,<-5500,0,0,9,54,11,11,9,10,1,8
medlo,NA,58,35,11,5,25,24,23,20,33,23
medmed,-2000,0,0,28,2,6,7,15,17,3,5
medmed,-3500,0,0,21,20,49,46,29,31,4,38
medmed,-5000,0,0,25,7,11,11,10,10,6,25
medmed,<-5500,0,0,3,69,3,3,3,3,0,2
medmed,NA,45,46,24,7,28,29,40,45,49,26
medhi,-2000,0,0,10,1,0,0,2,6,0,0
medhi,-3500,0,0,7,10,26,26,18,18,0,18
medhi,-5000,0,0,8,16,11,11,10,10,3,12
medhi,<-5500,0,0,0,13,0,0,0,0,0,0
medhi,NA,36,49,26,14,14,13,20,21,38,22
hilo,-2000,0,0,0,0,0,0,0,0,5,0
hilo,-3500,0,0,3,0,8,8,8,7,2,4
hilo,-5000,0,0,13,0,8,8,8,8,14,10
hilo,<-5500,0,0,0,20,0,0,0,0,0,0
hilo,NA,25,30,4,1,4,4,3,3,8,6
himed,-2000,0,0,4,0,1,1,4,5,10,1
himed,-3500,0,0,13,2,27,27,17,17,6,16
himed,-5000,0,0,25,0,17,17,17,17,33,35
himed,<-5500,0,0,0,65,0,0,0,0,0,0
himed,NA,102,70,20,1,23,23,30,29,29,14
hihi,-2000,0,0,12,7,3,4,14,14,4,3
hihi,-3500,0,0,39,13,45,45,28,27,3,26
hihi,-5000,0,0,27,23,37,37,36,34,46,45
hihi,<-5500,0,0,0,64,0,0,0,0,0,2
hihi,NA,210,179,74,46,67,66,74,80,111,77
NA,-2000,0,0,0,0,1,0,0,0,3,0
NA,-3500,0,0,0,0,0,0,0,0,0,0
NA,-5000,0,0,0,0,0,0,0,0,0,0
NA,<-5500,0,0,0,0,0,0,0,0,0,0
NA,NA,95,50,0,1,0,0,0,0,1,0
