Inflow group,OMR bin,NAA,Alt2woTUCPwoVA,Alt2woTUCPDeltaVA,Alt2woTUCPAllVA
lolo,-2000,54189,54189,45576,54189
lolo,-3500,117806,113044,113044,124055
lolo,-5000,240433,345257,329891,361840
lolo,<-5500,546547,542342,562344,527855
lomed,-2000,81465,81465,76711,96978
lomed,-3500,130344,120549,120549,139432
lomed,-5000,208217,281435,281435,289043
lomed,<-5500,NA,NA,NA,NA
lohi,-2000,130552,199749,344641,180584
lohi,-3500,208428,241111,191942,238045
lohi,-5000,226351,175053,193470,193470
medlo,-2000,27647,56798,59520,50971
medlo,-3500,172490,148289,138590,134670
medlo,-5000,217383,374670,377919,377919
medlo,<-5500,606560,559302,559302,583403
medmed,-2000,92454,86009,86009,92454
medmed,-3500,195201,164174,164174,188699
medmed,-5000,251330,337165,337165,345232
medmed,<-5500,546334,543002,546334,546334
medhi,-2000,143735,183314,167915,262475
medhi,-3500,319355,307325,303468,311986
medhi,-5000,470418,510174,514154,510385
medhi,<-5500,455531,NA,NA,NA
hilo,-3500,137049,160217,153086,160217
hilo,-5000,264382,264382,242315,271698
hilo,<-5500,245068,245068,287645,245068
himed,-2000,72558,76711,76711,86402
himed,-3500,175651,176405,188818,197951
himed,-5000,400448,392039,392039,400448
himed,<-5500,375420,369417,369417,369417
hihi,-2000,315738,331338,300952,311077
hihi,-3500,345153,334832,330569,352728
hihi,-5000,368941,396491,396491,396491
hihi,<-5500,395764,378812,378812,378812
